Block,Street,lat,lon
800,RICHARDS ST,49.28389251320959,-123.11219890599861
300,E 8TH AVE,49.26340290713782,-123.08615921498024
500,E 19TH AVE,49.25318969577162,-123.04570269440835
500,E 17TH AVE,49.25540039327931,-123.08172342164268
100,E 20TH AVE,49.2525707807991,-123.07417675463365
600,W 20TH AVE,49.2546892640869,-123.18756575484858
400,MOBERLY RD,49.267119696005444,-123.11769231445851
0,ATHLETES WAY,49.271553573823624,-123.10696147321444
1200,E 20TH AVE,49.2525707807991,-123.07417675463365
400,SEYMOUR ST,49.28386252193256,-123.1141175463516
300,E 6TH AVE,49.26545458360071,-123.09793894839464
700,E 30TH AVE,49.240258408677185,-123.05749008131771
2100,E 32ND AVE,49.24169369965523,-123.08816048101498
1100,SALSBURY DRIVE,49.27485750593576,-123.06759809731922
1900,OGDEN AVE,49.27679136718075,-123.14688777114695
1200,W 11TH AVE,49.26278126382685,-123.20060620052341
2800,HEMLOCK ST,49.264674352316796,-123.13607219335802
3000,GRANVILLE ST,49.25901295951559,-123.13874691672915
2200,CORNWALL AVE,49.272527866758566,-123.15140247306292
600,W 29TH AVE,49.24611588946404,-123.1694992041718
5000,ASH ST,49.234556833243914,-123.11784027039413
500,W 41ST AVE,49.2334763157178,-123.11285640861217
900,W 33RD AVE,49.241131821058204,-123.11968209948232
3500,W 35TH AVE,49.240400244675655,-123.16535093031861
3300,W 35TH AVE,49.240400244675655,-123.16535093031861
3200,W 35TH AVE,49.240400244675655,-123.16535093031861
500,ROBSON ST,49.2801028,-123.1181207
500,W 64TH AVE,49.21328707759695,-123.149469435529
200,E 28TH AVE,49.24504725404995,-123.06896412572789
1100,ROBSON ST,49.2846056,-123.125148
1100,ALBERNI ST,49.293629536028696,-123.13660129384469
800,HOWE ST,49.28478563333309,-123.11664266117666
1300,ALBERNI ST,49.293629536028696,-123.13660129384469
2300,SCOTIA ST,49.26808478818446,-123.09780059703978
2400,BAYSWATER ST,49.26670528520914,-123.1711430074112
3000,W BROADWAY,49.263649475047416,-123.1389344042681
3100,W BROADWAY,49.263649475047416,-123.1389344042681
2600,W BROADWAY,49.263649475047416,-123.1389344042681
1800,W 5TH AVE,49.26653047663682,-123.10709823256131
600,DAVIE ST,49.27359439420446,-123.12061726969179
900,RICHARDS ST,49.28389251320959,-123.11219890599861
2100,GRANVILLE ST,49.25901295951559,-123.13874691672915
2300,GRANVILLE ST,49.25901295951559,-123.13874691672915
2400,SPRUCE ST,49.262913132680694,-123.12901615315035
2000,ST GEORGE ST,49.21153931821845,-123.09429233756627
5400,QUEBEC ST,49.271086992086865,-123.10239064507557
1400,W 37TH AVE,49.23731905788833,-123.11888712259989
2600,HIGHBURY ST,49.270455650428815,-123.18757916237124
2100,W 41ST AVE,49.2334763157178,-123.11285640861217
1700,COTTRELL ST,49.269480636511744,-123.084058869782
2200,KINGSWAY,49.241372639934724,-123.05686279086896
1200,KINGSWAY,49.241372639934724,-123.05686279086896
2700,EAST KENT AVE N,49.20934943755498,-123.07738934857956
1800,TRIUMPH ST,49.283922356599106,-123.06263477989124
300,N GRANDVIEW HWY,49.25810815312953,-123.03563183049171
2600,VICTORIA DRIVE,49.2460053912135,-123.06508605765929
600,W 19TH AVE,49.25446207763342,-123.15051704572161
400,TERMINAL AVE,49.27073458819933,-123.08729040398126
300,TERMINAL AVE,49.27073458819933,-123.08729040398126
5300,VICTORIA DRIVE,49.2460053912135,-123.06508605765929
4000,W 4TH AVE,49.268372708414766,-123.16802979988441
4600,NW MARINE DRIVE,49.2748108536942,-123.20624349335134
2000,HIGHBURY ST,49.270455650428815,-123.18757916237124
3800,W 8TH AVE,49.26445433343878,-123.1349402207505
2400,ALDER ST,49.259951199730736,-123.13150509283193
2400,MAIN ST,49.264741967509515,-123.1009572308099
200,E 4TH AVE,49.26733684006582,-123.10177691347558
1800,LORNE ST,49.26888419127316,-123.0992808570885
700,W BROADWAY,49.2631457,-123.1201134
3000,HEMLOCK ST,49.264674352316796,-123.13607219335802
2300,W BROADWAY,49.263649475047416,-123.1389344042681
2600,TRIMBLE ST,49.26466468174122,-123.2060496362257
2100,LAHB AVE,49.248476091704404,-123.15421056479457
400,SW MARINE DRIVE,49.207243764489434,-123.12418479819577
2000,STEPHENS ST,49.27062144655092,-123.16629649897213
