METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54687,"""{""""coordinates"""": [-123.10027288481304, 49.263513908708426], """"type"""": """"Point""""}""",Mount Pleasant,990002,"49.263513908708426, -123.10027288481304",-123.10027288481304,49.263513908708426
Pay Station,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,53695,"""{""""coordinates"""": [-123.06946001432016, 49.27276398581615], """"type"""": """"Point""""}""",Grandview-Woodland,6C1306,"49.27276398581615, -123.06946001432016",-123.06946001432016,49.27276398581615
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,51678,"""{""""coordinates"""": [-123.06991893936068, 49.26063602077593], """"type"""": """"Point""""}""",Kensington-Cedar Cottage,6C2619,"49.26063602077593, -123.06991893936068",-123.06991893936068,49.26063602077593
Pay Station,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52165,"""{""""coordinates"""": [-123.06956705333364, 49.26627496734119], """"type"""": """"Point""""}""",Grandview-Woodland,6C2016,"49.26627496734119, -123.06956705333364",-123.06956705333364,49.26627496734119
Pay Station,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52341,"""{""""coordinates"""": [-123.06993404596922, 49.259946978556236], """"type"""": """"Point""""}""",Kensington-Cedar Cottage,6C2711,"49.259946978556236, -123.06993404596922",-123.06993404596922,49.259946978556236
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Yes,51594,"""{""""coordinates"""": [-123.06951306274327, 49.26903499654443], """"type"""": """"Point""""}""",Grandview-Woodland,6C1714,"49.26903499654443, -123.06951306274327",-123.06951306274327,49.26903499654443
Pay Station,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52171,"""{""""coordinates"""": [-123.06954595645495, 49.26749904679613], """"type"""": """"Point""""}""",Grandview-Woodland,6C1906,"49.26749904679613, -123.06954595645495",-123.06954595645495,49.26749904679613
Pay Station,$1.00,$4.00,$1.00,$4.00,$1.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,54247,"""{""""coordinates"""": [-123.06960505274944, 49.263973971705255], """"type"""": """"Point""""}""",Grandview-Woodland,6C2306,"49.263973971705255, -123.06960505274944",-123.06960505274944,49.263973971705255
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Yes,67816,"""{""""coordinates"""": [-123.0977577847809, 49.28271965395001], """"type"""": """"Point""""}""",Strathcona,500209,"49.28271965395001, -123.0977577847809",-123.0977577847809,49.28271965395001
Twin Bay Single,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,62163,"""{""""coordinates"""": [-123.10751945197936, 49.281454168085254], """"type"""": """"Point""""}""",Downtown,540409,"49.281454168085254, -123.10751945197936",-123.10751945197936,49.281454168085254
Pay Station,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52274,"""{""""coordinates"""": [-123.06943599584424, 49.27416302203705], """"type"""": """"Point""""}""",Grandview-Woodland,6C1122,"49.27416302203705, -123.06943599584424",-123.06943599584424,49.27416302203705
Pay Station,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50305,"""{""""coordinates"""": [-123.06963193502062, 49.274188990170565], """"type"""": """"Point""""}""",Grandview-Woodland,6C1113,"49.274188990170565, -123.06963193502062",-123.06963193502062,49.274188990170565
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,51541,"""{""""coordinates"""": [-123.06949596814304, 49.27105496772825], """"type"""": """"Point""""}""",Grandview-Woodland,6C1504,"49.27105496772825, -123.06949596814304",-123.06949596814304,49.27105496772825
Pay Station,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50312,"""{""""coordinates"""": [-123.06965498287964, 49.27278797555766], """"type"""": """"Point""""}""",Grandview-Woodland,6C1305,"49.27278797555766, -123.06965498287964",-123.06965498287964,49.27278797555766
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50278,"""{""""coordinates"""": [-123.06969297674733, 49.27087296626147], """"type"""": """"Point""""}""",Grandview-Woodland,6C1509,"49.27087296626147, -123.06969297674733",-123.06969297674733,49.27087296626147
Pay Station,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,52230,"""{""""coordinates"""": [-123.06976404294969, 49.268432976669594], """"type"""": """"Point""""}""",Grandview-Woodland,6C1801,"49.268432976669594, -123.06976404294969",-123.06976404294969,49.268432976669594
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,4 Hr,4 Hr,4 Hr,4 Hr,4 Hr,4 Hr,,Yes,59939,"""{""""coordinates"""": [-123.1011438193486, 49.24985824886951], """"type"""": """"Point""""}""",Riley Park,513913,"49.24985824886951, -123.1011438193486",-123.1011438193486,49.24985824886951
Twin Bay Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Yes,64230,"""{""""coordinates"""": [-123.10693219467609, 49.28106039139301], """"type"""": """"Point""""}""",Downtown,080031,"49.28106039139301, -123.10693219467609",-123.10693219467609,49.28106039139301
Pay Station,$3.00,$5.00,$3.00,$5.00,$3.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,50368,"""{""""coordinates"""": [-123.06967700267711, 49.2716339691995], """"type"""": """"Point""""}""",Grandview-Woodland,6C1411,"49.2716339691995, -123.06967700267711",-123.06967700267711,49.2716339691995
Twin Bay Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,30 min,30 min,30 min,30 min,30 min,30 min,,Yes,51629,"""{""""coordinates"""": [-123.17276052701409, 49.26406651615858], """"type"""": """"Point""""}""",Kitsilano,303014,"49.26406651615858, -123.17276052701409",-123.17276052701409,49.26406651615858
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52618,"""{""""coordinates"""": [-123.10119005401266, 49.26150702490763], """"type"""": """"Point""""}""",Mount Pleasant,512617,"49.26150702490763, -123.10119005401266",-123.10119005401266,49.26150702490763
Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51592,"""{""""coordinates"""": [-123.17544263917559, 49.26427638970795], """"type"""": """"Point""""}""",Kitsilano,303121,"49.26427638970795, -123.17544263917559",-123.17544263917559,49.26427638970795
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56051,"""{""""coordinates"""": [-123.1511529997108, 49.26390313720115], """"type"""": """"Point""""}""",Kitsilano,302011,"49.26390313720115, -123.1511529997108",-123.1511529997108,49.26390313720115
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54802,"""{""""coordinates"""": [-123.17259156741945, 49.26406391718795], """"type"""": """"Point""""}""",Kitsilano,303010,"49.26406391718795, -123.17259156741945",-123.17259156741945,49.26406391718795
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52053,"""{""""coordinates"""": [-123.17254139514831, 49.26422836157452], """"type"""": """"Point""""}""",Kitsilano,303005,"49.26422836157452, -123.17254139514831",-123.17254139514831,49.26422836157452
