Block,Street,EntryDate,Status,Year,BI_ID,dayofweek,Geometry,Neighbourhood
800,RICHARDS ST,2023-07-11,VA,2023,4546401,1,POINT (49.28389251320959 -123.1121989059986),Downtown
300,E 8TH AVE,2023-07-11,IS,2023,4546402,1,POINT (49.26340290713782 -123.08615921498024),Mount Pleasant
500,E 19TH AVE,2023-07-11,IS,2023,4546406,1,POINT (49.25318969577162 -123.04570269440836),Renfrew-Collingwood
500,E 17TH AVE,2023-07-11,IS,2023,4546408,1,POINT (49.25540039327931 -123.08172342164268),Kensington-Cedar Cottage
100,E 20TH AVE,2023-07-11,IS,2023,4546409,1,POINT (49.2525707807991 -123.07417675463364),Kensington-Cedar Cottage
600,W 20TH AVE,2023-07-11,VA,2023,4546410,1,POINT (49.2546892640869 -123.18756575484858),Dunbar-Southlands
400,MOBERLY RD,2023-07-11,VA,2023,4546412,1,POINT (49.26711969600544 -123.11769231445852),Fairview
0,ATHLETES WAY,2023-07-11,IS,2023,4546416,1,POINT (49.27155357382362 -123.10696147321444),Mount Pleasant
1200,E 20TH AVE,2023-07-11,VA,2023,4546418,1,POINT (49.2525707807991 -123.07417675463364),Kensington-Cedar Cottage
400,SEYMOUR ST,2023-07-11,IS,2023,4546421,1,POINT (49.28386252193256 -123.1141175463516),Downtown
800,RICHARDS ST,2023-07-11,VA,2023,4546422,1,POINT (49.28389251320959 -123.1121989059986),Downtown
300,E 6TH AVE,2023-07-11,IS,2023,4546427,1,POINT (49.26545458360071 -123.09793894839464),Mount Pleasant
700,E 30TH AVE,2023-07-11,IS,2023,4546430,1,POINT (49.24025840867719 -123.05749008131772),Renfrew-Collingwood
2100,E 32ND AVE,2023-07-11,IS,2023,4546435,1,POINT (49.24169369965523 -123.08816048101498),Kensington-Cedar Cottage
1100,SALSBURY DRIVE,2023-07-11,IS,2023,4546436,1,POINT (49.27485750593576 -123.06759809731922),Grandview-Woodland
